gene	SRX1130454	ERX3503479	SRX1130456	SRX1130465	SRX1130457	SRX3367918	SRX7649169	SRX1130492	SRX3367919	ERX3988324	ERX3988313	SRX546032	SRX1045016	SRX1130490	SRX3154231	SRX546016	ERX3988308	SRX1130470	SRX1130460	SRX1130468	SRX4081212	SRX2349198	ERX3988309	SRX3154228	ERX3503483	SRX4520756	SRX1130452	SRX546033	SRX1735461	SRX666570	SRX1130496	SRX1130501	SRX5492850	SRX3154230	SRX1130459	SRX9029128	SRX666579	SRX807046	SRX4081213	SRX1735462	SRX546015	ERX3988323	ERX3988325	SRX546024	SRX1130506	SRX1130471	SRX1100709	SRX1130451	SRX1130504	SRX4520757	ERX3988322	SRX666577	SRX1130455	SRX2349197	SRX666576	SRX157655	SRX546017	SRX666574	SRX3154229	SRX1130491	SRX1130500	SRX1130462	SRX3367920	ERX3988312	SRX1130507	SRX1130464	SRX1130503	SRX1093014	SRX1130461	SRX1130467	ERX3503481	SRX1100710	SRX1735466	SRX3154227	SRX1735465	SRX1130463	SRX7649168	SRX8564783	SRX1130466	SRX7421974	SRX7649167	ERX3988320	SRX1130458	SRX546026	SRX1130469	SRX1130453	ERX3988310	SRX1130505	SRX1130499	SRX546025	SRX9029119	SRX1093013	SRX546034	SRX2349196	SRX2349199	SRX7649166	SRX326627	SRX1130489	SRX1093011
16	0.0	0.0	0.0	59.0	21.0	1753.0	145.0	590.0	1331.0	54.0	61.0	77.0	6.0	134.0	85.0	210.0	127.0	216.0	190.0	110.0	9.0	314.0	132.0	39.0	0.0	14.0	0.0	67.0	12.0	539.0	0.0	0.0	0.0	23.0	271.0	3.0	8.0	564.0	15.0	10.0	302.0	89.0	97.0	513.0	414.0	1.0	53.0	80.0	10.0	12.0	58.0	57.0	0.0	2539.0	69.0	0.0	315.0	81.0	19.0	306.0	583.0	24.0	1070.0	140.0	22.0	351.0	21.0	6.0	171.0	7.0	0.0	22.0	44.0	15.0	94.0	31.0	169.0	760.0	26.0	0.0	183.0	77.0	1.0	619.0	191.0	86.0	105.0	280.0	177.0	603.0	7.0	3.0	209.0	733.0	26453.0	125.0	0.0	145.0	1.0
17	0.0	0.0	0.0	59.0	21.0	1798.0	145.0	596.0	1366.0	55.0	63.0	77.0	6.0	138.0	86.0	211.0	130.0	232.0	190.0	119.0	9.0	317.0	133.0	40.0	0.0	14.0	0.0	67.0	13.0	540.0	0.0	0.0	0.0	23.0	283.0	3.0	8.0	572.0	15.0	10.0	303.0	89.0	97.0	519.0	426.0	1.0	53.0	80.0	10.0	12.0	59.0	57.0	0.0	2753.0	69.0	0.0	317.0	82.0	19.0	311.0	613.0	24.0	1134.0	140.0	22.0	369.0	21.0	6.0	175.0	7.0	0.0	23.0	46.0	15.0	98.0	33.0	169.0	779.0	26.0	0.0	183.0	78.0	1.0	620.0	206.0	91.0	105.0	280.0	197.0	617.0	7.0	3.0	214.0	749.0	27248.0	159.0	2.0	145.0	1.0
18	0.0	0.0	0.0	59.0	21.0	1896.0	145.0	596.0	1459.0	56.0	65.0	77.0	6.0	138.0	89.0	214.0	133.0	232.0	190.0	119.0	9.0	327.0	134.0	41.0	0.0	14.0	0.0	68.0	14.0	560.0	0.0	0.0	0.0	25.0	283.0	3.0	8.0	580.0	15.0	10.0	305.0	89.0	98.0	522.0	426.0	1.0	58.0	80.0	10.0	12.0	59.0	60.0	0.0	2845.0	70.0	0.0	323.0	83.0	20.0	311.0	613.0	24.0	1264.0	143.0	22.0	369.0	21.0	6.0	175.0	7.0	0.0	24.0	51.0	15.0	99.0	33.0	220.0	785.0	26.0	0.0	183.0	84.0	1.0	632.0	206.0	91.0	106.0	280.0	197.0	623.0	7.0	3.0	215.0	764.0	27905.0	186.0	2.0	145.0	1.0
19	0.0	0.0	9.0	114.0	21.0	1897.0	145.0	656.0	1460.0	56.0	65.0	82.0	6.0	176.0	93.0	217.0	134.0	247.0	217.0	124.0	9.0	340.0	134.0	45.0	0.0	14.0	0.0	70.0	14.0	564.0	0.0	0.0	3.0	25.0	306.0	5.0	8.0	591.0	15.0	10.0	311.0	89.0	98.0	531.0	438.0	1.0	60.0	99.0	10.0	12.0	59.0	61.0	0.0	2906.0	70.0	0.0	330.0	84.0	20.0	319.0	720.0	29.0	1265.0	144.0	22.0	456.0	21.0	6.0	202.0	26.0	0.0	25.0	54.0	16.0	104.0	43.0	220.0	815.0	29.0	0.0	183.0	84.0	1.0	670.0	217.0	95.0	107.0	317.0	217.0	639.0	10.0	3.0	230.0	785.0	28038.0	186.0	3.0	149.0	2.0
20	0.0	0.0	9.0	114.0	21.0	1905.0	163.0	656.0	1467.0	56.0	67.0	82.0	6.0	181.0	93.0	217.0	134.0	247.0	217.0	124.0	9.0	342.0	134.0	45.0	0.0	14.0	0.0	71.0	14.0	566.0	0.0	0.0	3.0	25.0	306.0	6.0	8.0	591.0	15.0	11.0	312.0	89.0	98.0	537.0	438.0	1.0	61.0	99.0	10.0	12.0	61.0	61.0	0.0	2926.0	70.0	0.0	331.0	84.0	20.0	319.0	726.0	36.0	1268.0	144.0	22.0	456.0	21.0	6.0	202.0	26.0	0.0	25.0	55.0	16.0	103.0	43.0	233.0	819.0	29.0	0.0	202.0	84.0	1.0	680.0	217.0	95.0	107.0	317.0	222.0	641.0	13.0	3.0	231.0	787.0	28385.0	186.0	3.0	149.0	2.0
21	0.0	0.0	24.0	229.0	52.0	1909.0	163.0	925.0	1471.0	57.0	67.0	83.0	6.0	223.0	100.0	217.0	140.0	359.0	325.0	177.0	9.0	352.0	135.0	45.0	0.0	14.0	0.0	73.0	14.0	571.0	0.0	0.0	3.0	25.0	416.0	6.0	8.0	650.0	15.0	11.0	314.0	91.0	96.0	547.0	596.0	2.0	61.0	132.0	10.0	12.0	63.0	62.0	0.0	3590.0	71.0	0.0	335.0	85.0	21.0	523.0	951.0	36.0	1268.0	149.0	45.0	547.0	45.0	6.0	274.0	26.0	0.0	27.0	55.0	16.0	106.0	77.0	233.0	875.0	103.0	0.0	202.0	84.0	1.0	694.0	314.0	129.0	109.0	513.0	293.0	652.0	15.0	3.0	238.0	808.0	30993.0	204.0	3.0	167.0	2.0
22	3.0	0.0	25.0	243.0	52.0	1921.0	132.0	982.0	1477.0	72.0	89.0	94.0	6.0	252.0	102.0	232.0	174.0	419.0	375.0	237.0	18.0	434.0	168.0	55.0	0.0	14.0	0.0	94.0	14.0	579.0	0.0	0.0	3.0	25.0	467.0	6.0	7.0	1001.0	25.0	11.0	321.0	112.0	110.0	683.0	652.0	2.0	78.0	143.0	10.0	12.0	66.0	70.0	0.0	4853.0	83.0	0.0	348.0	112.0	22.0	586.0	1020.0	51.0	1278.0	185.0	45.0	602.0	45.0	11.0	314.0	27.0	0.0	40.0	43.0	18.0	93.0	95.0	233.0	959.0	121.0	0.0	230.0	95.0	1.0	796.0	343.0	139.0	124.0	615.0	335.0	836.0	19.0	7.0	287.0	1034.0	33796.0	204.0	4.0	182.0	3.0
23	3.0	0.0	25.0	243.0	52.0	1968.0	132.0	982.0	1491.0	72.0	91.0	94.0	6.0	252.0	110.0	237.0	181.0	419.0	375.0	237.0	18.0	452.0	174.0	57.0	0.0	15.0	0.0	95.0	15.0	585.0	0.0	0.0	3.0	25.0	467.0	6.0	7.0	1040.0	25.0	11.0	324.0	116.0	116.0	1006.0	659.0	2.0	84.0	143.0	10.0	12.0	68.0	72.0	0.0	14261.0	104.0	0.0	350.0	129.0	23.0	586.0	1032.0	51.0	1294.0	187.0	45.0	602.0	45.0	20.0	314.0	27.0	0.0	40.0	35.0	18.0	81.0	95.0	233.0	968.0	121.0	0.0	230.0	95.0	1.0	1206.0	343.0	139.0	127.0	616.0	335.0	1385.0	20.0	20.0	294.0	1122.0	41414.0	204.0	4.0	182.0	7.0
24	17.0	0.0	67.0	407.0	84.0	1981.0	132.0	1195.0	1521.0	74.0	91.0	95.0	6.0	320.0	117.0	237.0	184.0	548.0	487.0	301.0	19.0	458.0	175.0	57.0	0.0	15.0	0.0	97.0	15.0	591.0	0.0	29.0	3.0	26.0	558.0	10.0	9.0	1072.0	24.0	11.0	324.0	118.0	124.0	1032.0	818.0	2.0	91.0	199.0	10.0	12.0	68.0	76.0	0.0	15015.0	111.0	0.0	353.0	132.0	24.0	668.0	1326.0	134.0	1308.0	189.0	45.0	754.0	63.0	28.0	407.0	51.0	0.0	49.0	35.0	20.0	80.0	143.0	233.0	1228.0	226.0	0.0	279.0	95.0	10.0	1329.0	421.0	211.0	128.0	739.0	466.0	1439.0	37.0	21.0	299.0	1145.0	42777.0	257.0	6.0	224.0	10.0
25	17.0	0.0	67.0	407.0	84.0	1990.0	132.0	1195.0	1527.0	72.0	89.0	96.0	6.0	320.0	117.0	242.0	184.0	548.0	487.0	301.0	19.0	458.0	174.0	57.0	0.0	16.0	0.0	98.0	15.0	591.0	0.0	29.0	3.0	26.0	558.0	10.0	10.0	1072.0	23.0	11.0	325.0	119.0	122.0	1036.0	818.0	2.0	94.0	199.0	10.0	12.0	68.0	78.0	0.0	15148.0	114.0	0.0	353.0	132.0	24.0	668.0	1326.0	134.0	1319.0	189.0	45.0	754.0	63.0	29.0	407.0	51.0	0.0	50.0	30.0	21.0	74.0	143.0	233.0	1230.0	226.0	0.0	302.0	95.0	10.0	1351.0	421.0	211.0	128.0	739.0	466.0	1447.0	37.0	22.0	302.0	1148.0	42970.0	267.0	6.0	224.0	11.0
26	17.0	0.0	67.0	407.0	84.0	1991.0	155.0	1195.0	1522.0	73.0	89.0	96.0	6.0	320.0	117.0	242.0	183.0	555.0	487.0	301.0	19.0	460.0	175.0	57.0	0.0	16.0	0.0	98.0	12.0	592.0	0.0	29.0	3.0	26.0	558.0	10.0	12.0	1076.0	20.0	10.0	325.0	121.0	123.0	1036.0	818.0	2.0	95.0	199.0	10.0	12.0	68.0	78.0	0.0	15772.0	115.0	0.0	353.0	134.0	24.0	668.0	1326.0	134.0	1320.0	186.0	45.0	754.0	63.0	29.0	407.0	51.0	0.0	50.0	28.0	21.0	70.0	139.0	233.0	1233.0	226.0	0.0	302.0	94.0	10.0	1371.0	421.0	211.0	127.0	739.0	466.0	1452.0	37.0	22.0	306.0	1157.0	43490.0	261.0	6.0	224.0	12.0
27	17.0	0.0	67.0	407.0	84.0	1984.0	186.0	1195.0	1520.0	72.0	90.0	92.0	6.0	327.0	117.0	244.0	180.0	555.0	487.0	301.0	17.0	469.0	177.0	57.0	0.0	17.0	0.0	99.0	12.0	591.0	0.0	29.0	3.0	26.0	558.0	10.0	14.0	1076.0	18.0	10.0	323.0	119.0	122.0	1035.0	818.0	2.0	95.0	199.0	10.0	5.0	71.0	77.0	0.0	15842.0	115.0	0.0	353.0	136.0	24.0	668.0	1326.0	134.0	1312.0	185.0	45.0	754.0	63.0	29.0	407.0	51.0	0.0	51.0	27.0	21.0	67.0	139.0	221.0	1233.0	226.0	0.0	271.0	88.0	10.0	1379.0	421.0	211.0	123.0	739.0	466.0	1452.0	37.0	22.0	305.0	1159.0	43706.0	239.0	6.0	224.0	12.0
28	17.0	0.0	67.0	413.0	84.0	1986.0	195.0	1195.0	1527.0	74.0	91.0	92.0	6.0	328.0	119.0	243.0	180.0	553.0	500.0	307.0	17.0	477.0	180.0	57.0	0.0	20.0	0.0	99.0	10.0	592.0	0.0	29.0	3.0	26.0	577.0	10.0	16.0	1098.0	20.0	5.0	323.0	119.0	123.0	1042.0	840.0	2.0	96.0	203.0	10.0	9.0	73.0	79.0	0.0	16593.0	117.0	0.0	354.0	136.0	24.0	690.0	1343.0	143.0	1318.0	188.0	45.0	773.0	63.0	29.0	424.0	51.0	0.0	52.0	41.0	21.0	93.0	144.0	265.0	1244.0	235.0	0.0	276.0	89.0	10.0	1397.0	430.0	217.0	124.0	749.0	500.0	1456.0	38.0	22.0	306.0	1171.0	45038.0	239.0	6.0	231.0	12.0
29	25.0	0.0	67.0	419.0	84.0	1904.0	199.0	1218.0	1479.0	77.0	69.0	91.0	6.0	341.0	114.0	244.0	154.0	559.0	507.0	323.0	15.0	480.0	132.0	58.0	0.0	32.0	0.0	99.0	10.0	597.0	0.0	29.0	3.0	27.0	602.0	10.0	17.0	1098.0	15.0	3.0	325.0	111.0	123.0	1033.0	866.0	2.0	98.0	211.0	10.0	17.0	60.0	80.0	0.0	16979.0	136.0	0.0	336.0	145.0	24.0	708.0	1349.0	143.0	1266.0	154.0	45.0	785.0	63.0	32.0	433.0	51.0	0.0	53.0	46.0	21.0	103.0	146.0	197.0	1249.0	235.0	0.0	284.0	76.0	10.0	1429.0	430.0	219.0	101.0	764.0	518.0	1454.0	39.0	22.0	305.0	1254.0	46444.0	262.0	6.0	231.0	12.0
30	25.0	0.0	72.0	480.0	87.0	1640.0	137.0	1232.0	1241.0	70.0	57.0	69.0	2.0	347.0	96.0	194.0	137.0	574.0	531.0	326.0	13.0	360.0	113.0	50.0	0.0	42.0	0.0	90.0	8.0	417.0	0.0	29.0	3.0	23.0	593.0	12.0	16.0	999.0	15.0	3.0	278.0	96.0	103.0	886.0	889.0	2.0	73.0	216.0	21.0	25.0	45.0	62.0	0.0	16556.0	116.0	0.0	278.0	142.0	19.0	730.0	1494.0	164.0	1076.0	130.0	45.0	860.0	62.0	31.0	436.0	87.0	0.0	46.0	53.0	14.0	102.0	163.0	228.0	840.0	253.0	8.0	242.0	68.0	14.0	1285.0	520.0	227.0	79.0	769.0	515.0	1263.0	40.0	24.0	246.0	1001.0	43126.0	280.0	6.0	241.0	13.0
31	25.0	0.0	72.0	480.0	87.0	1585.0	137.0	1221.0	1199.0	46.0	53.0	42.0	1.0	343.0	85.0	89.0	110.0	568.0	531.0	326.0	16.0	296.0	95.0	42.0	0.0	43.0	0.0	63.0	8.0	191.0	0.0	29.0	3.0	19.0	593.0	12.0	16.0	993.0	16.0	3.0	108.0	58.0	81.0	774.0	874.0	2.0	69.0	216.0	11.0	25.0	37.0	37.0	0.0	16203.0	83.0	0.0	114.0	86.0	14.0	716.0	1481.0	164.0	1044.0	110.0	45.0	860.0	62.0	31.0	436.0	87.0	0.0	45.0	51.0	10.0	104.0	159.0	228.0	795.0	253.0	8.0	242.0	57.0	14.0	1085.0	518.0	226.0	62.0	769.0	502.0	1117.0	40.0	24.0	179.0	777.0	40286.0	280.0	6.0	238.0	13.0
